Date,Open,High,Low,Close,Volume
6-Dec-13,38.42,38.55,37.99,38.36,36457292
5-Dec-13,38.85,38.88,37.18,38,116313834
4-Dec-13,38.21,38.98,38.12,38.94,51983578
3-Dec-13,38.14,38.49,38.08,38.31,52109760
2-Dec-13,38.09,38.78,38.06,38.45,42950373
29-Nov-13,37.82,38.29,37.82,38.13,22090428
27-Nov-13,37.57,37.76,37.49,37.6,26002050
26-Nov-13,37.57,37.65,37.35,37.35,34468069
25-Nov-13,37.93,37.95,37.57,37.64,30648148
22-Nov-13,37.52,37.68,37.33,37.57,27981996
21-Nov-13,37.27,37.53,37.26,37.4,23064699
20-Nov-13,36.92,37.41,36.86,37.08,32231827
19-Nov-13,36.85,37.23,36.67,36.74,44274987
18-Nov-13,37.35,37.58,37.07,37.2,53277485
15-Nov-13,37.95,38.02,37.72,37.84,50602034
14-Nov-13,37.87,38.13,37.72,38.02,46186577
13-Nov-13,36.98,38.16,36.9,38.16,44957611
12-Nov-13,37.38,37.6,37.2,37.36,31651589
11-Nov-13,37.69,37.78,37.36,37.59,26872537
8-Nov-13,37.67,37.78,37.34,37.78,36743157
7-Nov-13,37.96,38.01,37.43,37.5,60445258
6-Nov-13,37.24,38.22,37.06,38.18,88948830
5-Nov-13,35.79,36.71,35.77,36.64,51681868
4-Nov-13,35.59,35.98,35.55,35.94,28061873
1-Nov-13,35.67,35.69,35.39,35.52,40271887
31-Oct-13,35.66,35.69,35.34,35.4,41689563
30-Oct-13,35.53,35.79,35.43,35.54,37002061
29-Oct-13,35.63,35.72,35.26,35.52,31702613
28-Oct-13,35.61,35.73,35.27,35.57,38383594
25-Oct-13,35.88,36.29,35.47,35.73,113025064
24-Oct-13,33.82,34.1,33.57,33.72,51122810
23-Oct-13,34.35,34.49,33.67,33.76,58600499
22-Oct-13,35.02,35.1,34.52,34.58,40438546
21-Oct-13,34.98,35.2,34.91,34.99,27436505
18-Oct-13,34.82,34.99,34.33,34.96,41811699
17-Oct-13,34.45,34.99,34.37,34.92,31359198
16-Oct-13,34.6,34.9,34.56,34.64,35111593
15-Oct-13,34.67,34.99,34.47,34.49,47107657
14-Oct-13,33.9,34.5,33.78,34.45,27757870
11-Oct-13,33.68,34.14,33.68,34.13,30033336
10-Oct-13,33.31,33.89,33.26,33.76,42875141
9-Oct-13,33.07,33.35,32.96,33.07,35878559
8-Oct-13,33.31,33.33,32.8,33.01,40790502
